,id,gradeLevel,questionType,theme,question,optionA,optionB,optionC,optionD,answer,explanation,image,questionAudio,optionsAudio,configJson,isActive,note
158,high043,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),哪一種提示最能提升生成內容的可用性？,請列出 4 點，每點附一個生活例子,講詳細一點,幫我全部做好,隨便都可以,A,明確的格式與要求可提升輸出品質。,,,,,,
159,high044,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),提示詞工程的核心能力，比較接近哪一項？,把需求說清楚並逐步調整,找到最會騙 AI 的方法,完全不必自己思考,只追求最長的答案,A,與 AI 有效互動，關鍵在於清楚表達需求與持續修正。,,,,,,
160,high045,high,single_choice,二、 學習運用與正向協助 (輔助學習工具),在自主學習中，AI 最適合用來做什麼？,協助解釋概念、舉例與練習,替你完成全部學習任務,保證考試拿高分,取代你做所有筆記,A,AI 可以作為個人化學習助手，但不能完全取代學習過程。,,,,,,
161,high047,high,single_choice,二、 學習運用與正向協助 (輔助學習工具),若想請 AI 協助數學學習，較好的目標是？,理解解題方法與概念,取得作業的最終答案就好,規避思考過程,在考試中偷偷使用,A,AI 可以幫助理解步驟與概念，而非只追求答案。,,,,,,
162,high048,high,single_choice,二、 學習運用與正向協助 (輔助學習工具),用 AI 當學習夥伴時，哪個行為最能提升成效？,追問不懂的地方並要求換個說法,只看一次就停止,把每個答案都照抄,從不檢查內容,A,追問與反思能讓 AI 輔助真正轉化成理解。,,,,,,
163,high050,high,single_choice,二、 學習運用與正向協助 (創意激發),在創意寫作中，AI 最適合扮演哪種角色？,靈感夥伴與修改助手,唯一作者,分數保證人,版權免責工具,A,AI 可以提供方向、標題與語句建議，但作品仍應由人主導。,,,,,,
164,high053,high,single_choice,二、 學習運用與正向協助 (創意激發),如果 AI 提供 10 個故事標題，較好的處理方式是？,比較優缺點後重新組合成自己的版本,選第一個直接交,全部照抄成系列作,完全不看內容,A,選擇、比較與重組，才是高品質創作的關鍵。,,,,,,
165,high054,high,single_choice,二、 學習運用與正向協助 (創意激發),AI 協助創作時，最需要保留的是？,自己的價值判斷與美感選擇,對內容完全不負責,只求速度不要品質,把來源全部隱藏,A,創作不是按下生成就結束，人仍應對內容負責。,,,,,,
166,high055,high,single_choice,二、 學習運用與正向協助 (資料整理與摘要),AI 協助摘要長文時，最大的價值通常是？,節省整理時間並幫助抓重點,讓原文變得一定正確,可以完全取代閱讀,保證每次都無遺漏,A,AI 摘要可提高效率，但仍需確認完整性與正確性。,,,,,,
167,high057,high,single_choice,二、 學習運用與正向協助 (資料整理與摘要),如果 AI 的摘要忽略了作者的重要例子，代表什麼？,摘要可能有遺漏，需要回看原文,作者寫錯了,摘要比原文更可靠,例子不重要,A,摘要是壓縮資訊的過程，可能省略細節。,,,,,,
168,high059,high,single_choice,二、 學習運用與正向協助 (資料整理與摘要),AI 幫你整理出『三大重點』後，下一步最值得做的是？,用自己的話重述一次,直接背誦不求理解,立刻刪掉原文,把重點原封不動貼上,A,用自己的語言重述，能檢查是否真的理解。,,,,,,
169,high060,high,single_choice,三、 使用安全與倫理規範 (個人隱私保護),下列哪種資訊最不應該出現在你給 AI 的提問中？,真實學號、住址與聯絡方式,虛構角色設定,公開課本內容,一般性的自然現象問題,A,可識別個人身分的資料不應隨意輸入 AI。,,,,,,
170,high064,high,single_choice,三、 使用安全與倫理規範 (個人隱私保護),個人隱私保護的核心觀念是？,能不提供就不提供，必要時先評估,資料給越多越專業,只要是學習就可以公開個資,對方是 AI 就不用擔心,A,提供資訊前應先評估是否必要與是否涉及敏感資料。,,,,,,
171,high065,high,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),如果老師允許使用 AI 協助報告，最符合學術誠信的做法是？,註明使用方式，並由自己負責內容,請 AI 全做後假裝原創,只改幾個字就算自己寫,不讓任何人知道,A,透明說明工具用途，並保持自己的思考與責任，才符合誠信。,,,,,,
172,high070,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),下列哪一項最能避免對 AI 過度依賴？,先自行嘗試，再把 AI 當輔助,遇到任何事都先問 AI,讓 AI 替你做每個決定,不再和他人討論,A,先思考再求助，有助於維持獨立判斷能力。,,,,,,
173,high071,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),如果使用 AI 已經影響到睡眠與情緒，較合適的做法是？,調整使用時間並尋求師長協助,繼續熬夜以免落後,用更多 AI 分散注意力,完全不告訴任何人,A,科技使用若影響身心狀態，應主動調整並尋求支持。,,,,,,
174,high072,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),『適度使用 AI』最好的理解是？,把 AI 納入學習工具之一，但保有休息、人際與思考,只要是學習就可以無限使用,每天都用越久越好,有 AI 就不需要運動,A,適度使用強調平衡，而不是完全排斥或無限制投入。,,,,,,
175,high073,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),哪一種情況最能看出你仍保有獨立思考？,會比較 AI 建議與自己的判斷後再決定,AI 說什麼就做什麼,從不檢查內容,用 AI 代替所有想法,A,人應保有最終判斷與責任，而不是完全依賴工具。,,,,,,
176,high074,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),健康使用 AI 的完整做法，應同時包含？,時間管理、休息、查證與人際互動,只追求效率,越晚越安靜越適合狂用,把不舒服的感受藏起來,A,健康使用科技不只看效率，也要照顧身心與生活平衡。,,,,,,
